id,text,bucket,toxic,severe_toxic,obscene,threat,insult,identity_hate,score_toxic,score_severe_toxic,score_obscene,score_threat,score_insult,score_identity_hate,annotation_source
civilcomments-03fc3260312549522beb,Is this a Mel From Eckville routine?,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-8b7fdc9f3cd0d3850929,"The Mass is PUBLIC WORSHIP! It is not just my prayers, but me joining with others in the Worship of God. WE as a church are to join the entire CHURCH in our Worship. The Mass is comprised of the Liturgy of the Word [the WORD is the LOGOS of God] and it is VITAL. It should be heard [not boomed, but heard] by all, presented to all and responded to by all. The Second part of the Mass, is the Liturgy of the Eucharist. The LOGOS, the Word that we have listened to, and hopefully 'pondered in our hearts,' now comes to us under the form of bread and wine. It is the Body and Blood of Christ---given for US. There are many aspects of prayer we can bring. And we do offer all of them at the Offertory. But what we SHARE, in Common, and what we RECEIVE, in Common----is pure Gift from God.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-41dc3bc39e74169cd054,"So you call me ""weak and stupid"" because doctors made me a addict when I was 12 and under their care? All I knew was that I was in pain and they kept giving me shots. Yeah that's weak and stupid right?",insult,1,0,0,0,1,0,0.80597,0.029851,0.134328,0.0,0.776119,0.0,civil-comments-human-crowd-aggregate
civilcomments-03f2850e9af2459c13cc,What does beauty have to do with pornography? Definition of pornography from Merriam Webster: 1: the depiction of erotic behavior (as in pictures or writing) intended to cause sexual excitement 2: material (as books or a photograph) that depicts erotic behavior and is intended to cause sexual excitement 3: the depiction of acts in a sensational manner so as to arouse a quick intense emotional reaction Porn is porn,neutral,0,0,0,0,0,0,0.4,0.1,0.2,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-ec8e2b96a54d465c0b58,"And comes now Donald Trump being welcomed by major evangelicals of America, most if not all racists themselves, some even member of the Ku Klux Klan, to embrace and cheer each other on. Holy cow!",insult,1,0,0,0,0,0,0.7,0.0,0.0,0.0,0.4,0.2,civil-comments-human-crowd-aggregate
civilcomments-03d1a8a9891df40ea369,Seriously. Dislike. Snakes.,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-dfd01a435fdef94b0537,"Go look outside at the Boeing 747 that just flew past. Now take this quiz, ( pick A or B ) (A) Bill Nye worked on the Hydraulic Control system that keeps the plane in the air (B) Sarah Palin is unable to understand how something that big stays in the air. Darn the pesky science with all those numbers and facts!!!!!!!!",profanity,1,0,1,0,0,0,0.6,0.0,0.5,0.0,0.2,0.0,civil-comments-human-crowd-aggregate
civilcomments-b83a1fe9d21f6a7e1ced,"I hope all of those being portrayed have been approved by the Political Correctness Committee. JFK sounds a little risky to be portrayed. I mean, he initiated the United States involvement in the Vietnam War, attacked Cuba at the Bay of Pigs, threatened to nuke the USSR, sponsored clandestine CIA operations against foreign governments, spent money on wasteful space exploration that could have been spent on the homeless; it's even been alleged that he may have been unfaithful to his wife. Is this a good example for our children?",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-ea54945354cabd894fa2,"""Equally foolish are people who grow indignant on hearing that some practice was allowed to righteous people in earlier ages which is forbidden to the righteous on our own day, and that God laid down one rule for the former and a different one for the latter, as the difference between the two periods of time demands; ..."" and ""I lacked the insight to understand that justice, of which good and holy people are the servants, contains in itself, in a for more excellent and sublime way, the principles of all it prescribes, and is unvaryingly self-consistent, yet does not impose all its demands at once, but adjusts and allots to different periods the provisions most apt for them. In my blindness I censured the holy patriarchs, who not only made use of the opportunities available to them in the way ordained and inspired by God, but also prefigured what was to come, as God revealed it through them."" St. Augustine, ""The Confessions""",insult,1,0,0,0,0,0,0.5,0.1,0.1,0.0,0.3,0.0,civil-comments-human-crowd-aggregate
civilcomments-5ed861baba4084d8efcc,"True, not comparing apples with apples, I get it. Another way of looking at it is by comparing the cost to other rail projects, and...the project isn't near completion. There's a ton of information on rail costs per mile, and even summaries on the HART project. IMO, there are serious flaws in the concept from the get go. It also seems that there just isn't the population required to support such a project. I hope I'm wrong.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-baa8ca099101a9f4f542,"' No, it's not. No, it's not that either, And no, it doesn't give hate groups validity, they have none. Your presuppositions are unattested and unsupported. .",neutral,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-43db26619bf375b81c49,Unintended consequence: interruption of migratory flow of animals and ground/low flying birds. More genetic islands will result with extinctions and further loss of biodiversity..,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-59a2900d394a6d1f5709,This road is only being built to permanently keeping the capital in Juneau although Alaskans have voted to move it to central location!,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-b54e271c0a2ad0d2668d,"Sorry, it seems incredibly risky to put a clown like Trump in the position of Leader of the Free World, and then hope he is 100% ineffective. I would rather put in the woman who has some experience and a little credibility with the rest of the world.",insult,1,0,0,0,1,0,0.8,0.0,0.1,0.0,0.8,0.0,civil-comments-human-crowd-aggregate
civilcomments-67a8a6d0dd692ef2fc59,"I would say that the first step is to stop teaching their kids from 3 or 4 years old, that they are superior to infidels, infidels are a step below humans, that their religious duty is to convert infidels and that their god somehow rewards or asks them to take ANY action against infidels. If parents and madrasas stop teaching that non-sense, most terrorists wouldn't exist. So, don't see what others can do to appease you, look first at the violent non-sense you are teaching your kids.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-e280aab4c67f80f365c8,"a) Some companies (Toyota?) treat their employees well enough that they don't feel the need to unionize. Toyota (among others) isn't unionized, so it sort of suggests that your thesis that employees are 'terrorized' into joining unions isn't quite correct. b) Wages set at Toyota are partly set by the wages negotiated at unionized auto plants elsewhere. c) Go check out the wages paid to workers where there are no unions, to get an idea as to what a completely union-free environment looks like. Go check out Call Center wages, for instance. Or what part-time instructors get paid at community colleges compared to full-time (unionized) instructors. And I'm sure there are a lot of other examples.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-01c8fcd3d98f70520655,"Too bad the UN is filled with self -elected, self-indulgent, hedonistic pedophilic gang members who have enjoyed each others company since grammar school. So I'm sure they have ""many American Jews"" on their side; being more interested in the size of their pocketbooks, than being the protectors of modern civilization.",insult,1,1,0,0,1,0,0.7,0.3,0.1,0.0,0.7,0.4,civil-comments-human-crowd-aggregate
civilcomments-af2035c84b0bd99f07a4,I am shocked and appalled at the HIDDEN AGENDA behind this article!,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-bea02a3b95370a885510,"According to the author of the article ""As a board member, Aaberg pushed the idea of leasing the right for fishing lodges to take boats on the Iliamna River. The village owned 80 percent of it, but a couple of dozen lodges were crowding it with sportfishing clients. The corporation limited use to three boats a day and made the lodges bid for that privilege.""",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-7889b0d2ac4fe0e128e4,"The truth.......You mean like ""If you like your doctor you can keep your doctor? Or another favorite, ""if you like your insurance you can keep your insurance"" lol How soon they forget, the biggest liar just left office.",insult,1,0,0,0,1,0,0.6,0.0,0.0,0.0,0.6,0.0,civil-comments-human-crowd-aggregate
civilcomments-7a66fce94aaadaa75f70,Donald J --- Full speed ahead! Dam the silly leftist torpedoes! The silent Majority is with you Trump...Play your Trump card!,profanity,1,0,1,0,1,0,0.6,0.0,0.5,0.0,0.5,0.2,civil-comments-human-crowd-aggregate
civilcomments-1724b1b9421e0e018f12,The Yukon has channels that go to dead ends.,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-ff1e783ec0cd8d37d23a,Why would anyone buy in Canada now at these ridiculously overvalued prices? Vancouver has already dropped over 9 percent. More to come....,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-981fc975bcd8ea5f0b8b,Hannity with boobs...,insult,1,0,0,0,0,0,0.757143,0.028571,0.328571,0.0,0.2,0.0,civil-comments-human-crowd-aggregate
civilcomments-b594856eec69df7169b4,Another Pantload post.,neutral,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.2,0.0,civil-comments-human-crowd-aggregate
civilcomments-0eb7748ab518b09ae6d6,"Actually, I guess you didn't. I just like the idea of her.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-244a61a34850356510f6,Think I will go eat there just to make a new friend!,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-0f125e071ae08d9cd6eb,"DC, Outsider is an extremely well published physicist. Well, I'm pretty sure he is from the clues I have pieced together. I wouldn't discount his comments when it comes to science or other things (in my opinion) other than when he is yanking one's chain which one may never really know when he is doing that. I personally believe Global Warming, Climate Change, or whatever it is called at any given time is real and effecting the planet and in-turn life now. It is only going to get worse. It is one of the four horseman man now faces. I don't need any expert to tell me that or confirm that fact and I am not going to waste my time arguing with anyone who doesn't believe it; policies to address it, for sure.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-312cae7eeb283cff8532,"What can be verified and not ignored just because authority is resorted to. QC 5 and 6 asserted authority, not any particular dogma. Pius IX would not brook dissent. Too bad for Pius. That is tantrum, not truth. No pope is the sole source of Truth in the Catholic faith and never has been.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-1c81c267464e71368ba4,We need to change your name from B Carfree to don't be a lemming running for the closest cliff. Only an America hating progressive would not be very suspicious of these middle of October 35-year-old claims of sexual assault coming from women associated with the Clinton foundation. Sharpen your critical thinking skills to a little bit of research and you will find this all of these claims have now been debunked and were back to just the Clintons as the sexual deviants rapists and pedophiles,insult,1,0,0,0,0,0,0.6,0.1,0.0,0.0,0.4,0.2,civil-comments-human-crowd-aggregate
civilcomments-6f88abcff42d8008a821,"I'm always hopeful Tabatha will surprise me. And, somewhere in her rambling piece, A nugget of wisdom, cleverly hidden, will be revealed. But, darn it all, once again, today, it was not to be!",profanity,1,0,1,0,0,0,0.7,0.2,0.6,0.0,0.3,0.0,civil-comments-human-crowd-aggregate
civilcomments-76c11154a99c14af84a2,"Now, you are 'stretching the truth'. After HART awarded the contract for the Airport and Middle Street, Djou said clearly that he will honor all existing contracts. That means heavy rail will go to Middle Street. According to the FTA and HART, the rail project is OUT OF MONEY at Middle Street. Perhaps you, ""lumbernappy"" have never been out of money. The definition of ""out of money"" is not having $4 billion to blow on anything else. The money is GONE. All used up. There is no $4 billion. There's not even one hundred dollars. It's all spent. Therefore, ANYTHING Djou proposes to build (HOT lane, BRT, jetpack rentals, whatever) requires tax increases to pay for. So you say the $ billion is ""already collected via the GET"". What you pretend not to understand (but Djou does, so he's lying) is that HART (founded by Djou) has the full legal authority to use EVERY PENNY to build rail. It would require a City Charter amendment to change HART's mission and its financial authority.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-9421c466be5641384467,"Well, DC, about 5 million bucks has been blown of our City budget by the current City Manager. NO one is protesting that. Explain why, please.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-b7090752ec89a1616bb4,A real crappy ruling. Can't begin to say how bad this is...,neutral,0,0,0,0,0,0,0.3,0.0,0.1,0.0,0.1,0.0,civil-comments-human-crowd-aggregate
civilcomments-af3dd0fad0e24ca8c076,This guy hasn't noticed but there is already a 13% HST on sugary drinks. He seems to be one of these cover-up clowns that at trying to market unpopular items in the budget based on their internal knowledge.,insult,1,0,0,0,1,0,0.5,0.0,0.0,0.0,0.5,0.0,civil-comments-human-crowd-aggregate
civilcomments-5ad7f2ce1e25463efdbe,"Sure, Omar the child soldier deserves compassion, but his traitorous terrorist family that put him there deserve deportation....",neutral,0,0,0,0,0,0,0.46875,0.015625,0.03125,0.109375,0.40625,0.078125,civil-comments-human-crowd-aggregate
civilcomments-15e7ed3dbc42bd5bafb0,"During the last election the Liberal Party's Chief Financial Officer was one Chuck Rifici, who cofounded Tweed Marihuana aka canopy Growth Corp.",neutral,0,0,0,0,0,0,0.166667,0.0,0.0,0.166667,0.0,0.166667,civil-comments-human-crowd-aggregate
civilcomments-55d937133afb03f58b52,"The Jews considered going forth and populating the earth the single most important divine command, which is why homosexual behavior was a capital offense. And the Church considers the gift of life so fundamental that it excommunicates abortionists and those who facilitate abortion. In the midst of this is a small contingent who believes “it’s my phallus, I can use itfor anything I like.” I would consider that last group the phallus cult.",identity,1,0,0,0,0,1,0.6,0.1,0.1,0.0,0.4,0.6,civil-comments-human-crowd-aggregate
civilcomments-ae584777fdfd2dc6eb6c,wait...it sounds like you're talking about the Alaska legislature,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-68404100dc795a881422,"Thank you for the acknowledgement David, now Sir...may we part ways? You're shifting from the message to the messenger; after all, you've engaged me on the subject and I've responded to your questions...do you have others? Rick Holtsclaw",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-7a3452656a15b647d801,You sound like an old school Pedophile!,insult,1,0,0,0,1,0,0.8,0.030769,0.061538,0.0,0.769231,0.030769,civil-comments-human-crowd-aggregate
civilcomments-24b7a6d9b15ec6367b84,"Wondering why Begich didnt take credit for all of those accomplishments while running for re-election? Silly me, thought Lisa did most of that. Mark must be gearing up for a Gov run. I'm sure you're a nice guy but do us a favor, stay on the sidelines. Your time as mayor of Anchorage and US Senator were forgettable. End of discussion. Your constant efforts to extort more money from the private sector to feed insatiable union demands at every level of government have created an embarrassing have vs have-nots environment in Alaska. Your own Charles Wohlforth addressed it just the other day in his article on healthcare costs...Oops!!",neutral,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.2,0.0,civil-comments-human-crowd-aggregate
civilcomments-9e3cb9d2da5e5b261518,"All knew, the oil cartel on the slope, the Governors and the AOGCC, that it was a bygone conclusion that at some point in time (we are there) ""gas exploration development and export"" would be more beneficial to the state fiscally than oil for the larger tax base it would allow to flourish, and for continual improvement of our 1950`s infrastructure in measured beneficial and affordable phases..that also has a ""value"" that is probably more valuable to the state than the taxes we derive from the gas. If we don`t fight for ourselves with and through a good Governor like Walker, how will we ever stand against graft and conflict in government like that that pervades the majorities on the second floor in our capital? I`d rather we go down fighting rather than just, in fear that they leave us, let them have our oil and gas for nothing in production taxes... let alone these subsidies the Conoco caucus sold us... just like they sold us the Taj....",neutral,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.2,0.0,civil-comments-human-crowd-aggregate
civilcomments-56666de9bd62d45d734e,"Massingale didn't say ""Whites and only whites are responsible for all the problems in America's black communities"" and you should be ashamed of saying he did. Trid, you asked me about loving my neighbor, and I gave some examples where I find it hard to do that. Here is an excellent example of my neighbor, utilitas, being unlovable.",identity,1,0,0,0,0,1,0.8,0.0,0.0,0.0,0.3,0.8,civil-comments-human-crowd-aggregate
civilcomments-462f2bfeca5c904b5485,"Our military have laptops and other electronic devises to connect with home, do you think these are safe, not being hacked, leaks not happening. These have no place in a war zone.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-7d957976cf67998bcee6,"<< But on matters like abortion, gay marriage, etc., he has essentially conned the social conservatives.>> He has. But they, in turn, have co-opted him. There is no evidence that Trump is even remotely interested in the issues that matter to so-called social conservatives, but he is surrounded by people who do care about them. Mike Pence is an unrepentant, prolific gay basher, and Sessions is a reliable ""social conservative"" who will pursue policies designed to constrict or reverse the advances in civil, political and human rights of various minorities.",identity,1,0,0,0,1,1,0.6,0.0,0.0,0.0,0.7,0.6,civil-comments-human-crowd-aggregate
civilcomments-365d4fbfb3206dc03337,"Bring the team here ? They were founded here as part of the old West Coast Pro League that merged into the ECHL. no one ""brought"" them here... Your comment shows you haven't lived here long",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-b4e08122613879394f92,"Perhaps you should take an 'Introduction to Logic"" class before approaching the keyboard again. In any event, am I to assume then that you snowflakes restrict your ""hate"" exclusively to the unborn?",neutral,0,0,0,0,0,0,0.166667,0.0,0.0,0.0,0.166667,0.166667,civil-comments-human-crowd-aggregate
civilcomments-0ea0c7c9e43e6accc852,"Soy?!? Their chicken tasted like kack to me. Instead of suing the messenger, they should take this opportunity to get some decent chicken.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-295f88db85ca0495353a,"Talking about cadavers, Conway's husband of eighty years, says, I hardly recognize her anymore.",insult,1,0,0,0,1,0,0.5,0.0,0.0,0.0,0.5,0.0,civil-comments-human-crowd-aggregate
civilcomments-e38c9cb04740c4a389dd,Technical advances have outpaced true talent. This is more worthwhile watching than Carey's on-stage disaster.,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-6fae54720df5fe35f7c1,The USA is broke as shiat.,profanity,1,0,1,0,0,0,0.5,0.1,0.5,0.0,0.1,0.0,civil-comments-human-crowd-aggregate
civilcomments-34f49dfcabdad5615726,What a pompous @$$. Btw this new comment section sucks.,profanity,1,0,1,0,1,0,0.787879,0.0,0.681818,0.0,0.515152,0.0,civil-comments-human-crowd-aggregate
civilcomments-99bceab71af1a07e56b5,The opioid crisis is because junkies are compelled to buy street drugs instead of being able to purchase them at regulated pharmacies. Prohibition is the cause of these deaths and puts money in the pockets of organized crime. The state has no business criminalizing the recreational choices of ostensibly free citizens. It's wrong and harmful.,neutral,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.2,0.0,civil-comments-human-crowd-aggregate
civilcomments-0530fee3ffa00809a025,Well written. I'm suddenly famished and wished I read this article when they were still open! Yummy!,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
